Date,Open,High,Low,Close,Adj Close,Volume
2021-04-19,47949.42578,47949.42578,47949.42578,47949.42578,47949.42578,0
2021-04-20,47705.80469,47705.80469,47705.80469,47705.80469,47705.80469,0
2021-04-22,48080.67578,48080.67578,48080.67578,48080.67578,48080.67578,0
2021-04-23,47878.44922,47878.44922,47878.44922,47878.44922,47878.44922,0
2021-04-26,48386.51172,48386.51172,48386.51172,48386.51172,48386.51172,0
2021-04-27,48944.14453,48944.14453,48944.14453,48944.14453,48944.14453,0
2021-04-28,49733.83594,49733.83594,49733.83594,49733.83594,49733.83594,0
2021-04-29,49765.9375,49765.9375,49765.9375,49765.9375,49765.9375,0
2021-04-30,48782.35547,48782.35547,48782.35547,48782.35547,48782.35547,0
2021-05-03,48718.51953,48718.51953,48718.51953,48718.51953,48718.51953,0
2021-05-04,48253.50781,48253.50781,48253.50781,48253.50781,48253.50781,0
2021-05-05,48677.54688,48677.54688,48677.54688,48677.54688,48677.54688,0
2021-05-06,48949.75781,48949.75781,48949.75781,48949.75781,48949.75781,0
2021-05-07,49206.47266,49206.47266,49206.47266,49206.47266,49206.47266,0
2021-05-10,49502.40625,49502.40625,49502.40625,49502.40625,49502.40625,0
2021-05-11,49161.80859,49161.80859,49161.80859,49161.80859,49161.80859,0
2021-05-12,48690.80078,48690.80078,48690.80078,48690.80078,48690.80078,0
2021-05-14,48732.54688,48732.54688,48732.54688,48732.54688,48732.54688,0
2021-05-17,49580.73438,49580.73438,49580.73438,49580.73438,49580.73438,0
2021-05-18,50193.33203,50193.33203,50193.33203,50193.33203,50193.33203,0
2021-05-19,49902.64063,49902.64063,49902.64063,49902.64063,49902.64063,0
2021-05-20,49564.85547,49564.85547,49564.85547,49564.85547,49564.85547,0
2021-05-21,50540.47656,50540.47656,50540.47656,50540.47656,50540.47656,0
2021-05-24,50651.89844,50651.89844,50651.89844,50651.89844,50651.89844,0
2021-05-25,50637.52734,50637.52734,50637.52734,50637.52734,50637.52734,0
2021-05-26,51017.51953,51017.51953,51017.51953,51017.51953,51017.51953,0
2021-05-27,51115.22266,51115.22266,51115.22266,51115.22266,51115.22266,0
2021-05-28,51422.88281,51422.88281,51422.88281,51422.88281,51422.88281,0
2021-05-31,null,null,null,null,null,null
2021-06-01,51934.87891,51934.87891,51934.87891,51934.87891,51934.87891,0
2021-06-02,51849.48047,51849.48047,51849.48047,51849.48047,51849.48047,0
2021-06-03,52232.42969,52232.42969,52232.42969,52232.42969,52232.42969,0
2021-06-04,52100.05078,52100.05078,52100.05078,52100.05078,52100.05078,0
2021-06-07,52328.50781,52328.50781,52328.50781,52328.50781,52328.50781,0
2021-06-08,52275.57031,52275.57031,52275.57031,52275.57031,52275.57031,0
2021-06-09,51941.64063,51941.64063,51941.64063,51941.64063,51941.64063,0
2021-06-10,52300.47266,52300.47266,52300.47266,52300.47266,52300.47266,0
2021-06-11,52474.75781,52474.75781,52474.75781,52474.75781,52474.75781,0
2021-06-14,52551.53125,52551.53125,52551.53125,52551.53125,52551.53125,0
2021-06-15,52773.04688,52773.04688,52773.04688,52773.04688,52773.04688,0
2021-06-16,52501.98047,52501.98047,52501.98047,52501.98047,52501.98047,0
2021-06-17,52323.33203,52323.33203,52323.33203,52323.33203,52323.33203,0
2021-06-18,52344.45313,52344.45313,52344.45313,52344.45313,52344.45313,0
2021-06-21,52574.45703,52574.45703,52574.45703,52574.45703,52574.45703,0
2021-06-22,52588.71484,52588.71484,52588.71484,52588.71484,52588.71484,0
2021-06-23,52306.07422,52306.07422,52306.07422,52306.07422,52306.07422,0
2021-06-24,52698.99609,52698.99609,52698.99609,52698.99609,52698.99609,0
2021-06-25,52925.04297,52925.04297,52925.04297,52925.04297,52925.04297,0
2021-06-28,52735.58594,52735.58594,52735.58594,52735.58594,52735.58594,0
2021-06-29,52549.65625,52549.65625,52549.65625,52549.65625,52549.65625,0
2021-06-30,52482.71094,52482.71094,52482.71094,52482.71094,52482.71094,0
2021-07-01,52318.60156,52318.60156,52318.60156,52318.60156,52318.60156,0
2021-07-02,52484.66797,52484.66797,52484.66797,52484.66797,52484.66797,0
2021-07-05,null,null,null,null,null,null
2021-07-06,52861.17578,52861.17578,52861.17578,52861.17578,52861.17578,0
2021-07-07,53054.75781,53054.75781,53054.75781,53054.75781,53054.75781,0
2021-07-08,52568.94141,52568.94141,52568.94141,52568.94141,52568.94141,0
2021-07-09,52386.1875,52386.1875,52386.1875,52386.1875,52386.1875,0
2021-07-12,52372.68359,52372.68359,52372.68359,52372.68359,52372.68359,0
2021-07-13,52769.72656,52769.72656,52769.72656,52769.72656,52769.72656,0
2021-07-14,null,null,null,null,null,null
